SKU,Product Title,QTY,Expiring QTY,Days till Expiration,Sell Out in Days,Unit Cost,Retail Price,Net Weight,Unit Gross Weight (g),Vendor-L,Farm Level,Product Type,Cacaonum,Allergens,Awards,Chocolate Type,Diet Icons,Exceeds Sellout,Source Country,Inclusion or Flavor,Tags-L
A-MRA-101,Marana Piura Dark 80%,331,43,543,523,$2.45,$9.50,70,86.18,Maraná,"Farm 1,Farm 2,Farm 3",Chocolate Bars,80,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","EU Organic,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-20.37,Peru,,"btgt,distribution,fruity,marginhigh,mcountry-Peru,region-Piura"
A-MRA-104,Marana Cusco Dark 80%,185,41,529,416,$2.45,$9.50,70,86.18,Maraná,"Farm 1,Farm 2,Farm 3",Chocolate Bars,80,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","EU Organic,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-112.75,Peru,,"btgt,distribution,fruity,marginhigh,mcountry-Peru,region-Cuzco"
A-MRA-106,Marana San Martin 80%,178,34,501,314,$2.45,$9.50,70,86.18,Maraná,"Farm 1,Farm 2,Farm 3",Chocolate Bars,80,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",ICA silver 2020,"Dark,Plain","EU Organic,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-186.88,Peru,,"btgt,distribution,fruity,has-award,marginhigh,mcountry-Peru,region-San Martin"
A-MRA-107,Marana San Martin 70%,93,93,507,492,$2.35,$9.50,70,86.18,Maraná,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",,"Dark,Plain","EU Organic,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",-14.65,Peru,,"btgt,distribution,fruity,marginhigh,mcountry-Peru,region-San Martin"
A-MRA-108,Marana Piura Dark 70%,491,59,514,713,$2.35,$9.50,70,86.18,Maraná,"Farm 1,Farm 2,Farm 3",Chocolate Bars,70,"Trace Dairy,Trace Peanuts,Sesame Free,Soy Free,Trace Tree Nuts,Gluten Free",ICA silver 2018,"Dark,Plain","EU Organic,USDA Organic,Vegan+,No Gluten,No Soy,No Tree Nuts,No Dairy",198.74,Peru,,"btgt,distribution,fruity,has-award,marginhigh,mcountry-Peru,region-Piura"
A-MVE-250,Maeve Moon Rocks Truffle Bar,118,118,340,965,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts",,"Milk,Truffle,Inclusions","Kosher Dairy,No Gluten,No Tree Nuts",625.45,,,
A-MVE-251,Maeve Sip Sip Hooray Truffle Bar,41,41,354,,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts,Contains Dairy",,"Filled,Inclusions,Truffle,White",Kosher Dairy,-354,,"Fruit,Berries",
A-MVE-252,Maeve Mexican Hot Chocolate Truffle Bar,66,66,312,"2,970",$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts,Trace Dairy",,"Dark,Truffle,Inclusions","No Dairy,No Tree Nuts,No Gluten","2,658",,,
A-MVE-253,Maeve Happy Birthday Truffle Bar,53,53,312,"4,770",$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts",,"Milk,Truffle,Inclusions,White","Kosher Dairy,No Gluten,No Tree Nuts","4,458",,,
A-MVE-254,Maeve San Juan Salted Toffee Truffle Bar,36,36,359,"3,240",$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Trace Tree Nuts",,"Milk,Truffle,Inclusions","Kosher Dairy,No Tree Nuts,No Gluten","2,881",,Toffee,
A-MVE-255,Maeve Rainier Cherry Truffle Bar,17,17,349,255,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Gluten,Trace Sesame,Contains Tree Nuts",,"Dark,Truffle,Inclusions","No Dairy,No Gluten",-94,,"Cherry,Nuts,Pecan",
A-MVE-257,Maeve Cabin S'mores Truffle Bar,36,36,354,360,$3.11,$8.00,70,79.38,Maeve,,Chocolate Bars,,"Contains Dairy,Trace Peanuts,Contains Soy,Trace Sesame,Trace Tree Nuts,Contains Gluten",,"Milk,Truffle,Inclusions","Kosher Dairy,No Tree Nuts",6,,,
